titulo,descripcion,fecha_publicacion,autores,categorias,ediciones
"1. Estructuras de Datos y Algoritmos en C++","Completo manual...","2025-03-20","Adam Drozdek","Informática","ISBN=TMP-2025-EDSAC;fecha_edicion=2025-03-20"
"2. Cálculo: Trascendentes Tempranas","Texto fundamental...","2025-03-20","James Stewart","Ciencias Exactas, Educación","ISBN=TMP-2025-CALCT;fecha_edicion=2025-03-20"
"3. Fundamentos de Administración","Guía esencial...","2025-03-20","Stephen P. Robbins","Administración, Economía","ISBN=TMP-2025-FUNDAD;fecha_edicion=2025-03-20"
"4. Contabilidad","Manual completo...","2025-03-20","Charles T. Horngren,Walter T. Harrison,Madison V. Olivo","Economía","ISBN=TMP-2025-CONTG;fecha_edicion=2025-03-20"
"5. Fundamentos de física","Introducción a...","2025-03-20","Richard Wolfson, Andrew Rex","Ciencias Exactas, Educación","ISBN=TMP-2025-FISGEN;fecha_edicion=2025-03-20"
"6. Introducción a la Psicología","Panorama completo...","2025-03-20","Linda L. Davidoff","Ciencias Sociales","ISBN=TMP-2025-PSICO;fecha_edicion=2025-03-20"
"7. Mecánica de Fluidos","Tratado avanzado...","2025-03-20","Frank M. White","Ingeniería, Ciencias Exactas","ISBN=TMP-2025-MECFL;fecha_edicion=2025-03-20"
"8. Introduction to the Theory of Computation","Fundamentos teóricos...","2025-03-20","Michael Sipser","Informática, Ciencias Exactas","ISBN=TMP-2025-TEOCOM;fecha_edicion=2025-03-20"
"9. Fundamentos de Marketing","Estrategias modernas...","2025-03-20","Philip Kotler,Gary M. Armstrong,Lourdes Amador,Leticia Pineda","Administración","ISBN=TMP-2025-MARKT;fecha_edicion=2025-03-20"
"10. Análisis Matemático","Texto riguroso...","2025-03-20","Tom M. Apostol","Ciencias Exactas","ISBN=TMP-2025-ANALM;fecha_edicion=2025-03-20"
"11. Historia de la Filosofía Occidental","Recorrido desde...","2025-03-20","Bertrand Russell","Ciencias Sociales","ISBN=TMP-2025-HFILO;fecha_edicion=2025-03-20"
"12. Ingeniería de Software","Metodologías ágiles...","2025-03-20","Ian Sommerville","Informática, Ingeniería","ISBN=TMP-2025-INGSO;fecha_edicion=2025-03-20"
"13. Probabilidad y Estadística para Ingeniería y Ciencias","Enfoque aplicado...","2025-03-20","Jay L. Devore","Ciencias Exactas, Educación","ISBN=TMP-2025-ESTAD;fecha_edicion=2025-03-20"
"14. Redes de Computadoras","Arquitectura de...","2025-03-20","Andrew S. Tanenbaum","Informática","ISBN=TMP-2025-REDES;fecha_edicion=2025-03-20"
"15. Principios de economía","Análisis macro...","2025-03-20","N. Gregory Mankiw","Economía","ISBN=TMP-2025-ECONO;fecha_edicion=2025-03-20"
"16. Historia del Arte","Evolución del...","2025-03-20","E.H. Gombrich","Arte, Ciencias Sociales","ISBN=TMP-2025-HARTE;fecha_edicion=2025-03-20"
"17. BASES DE DATOS Diseño, implementacion y administracion","Guía completa...","2025-03-20","Carlos Coronel","Informática","ISBN=TMP-2025-BD;fecha_edicion=2025-03-20"
"18. Introduccion a la ciencia de la computacion.","Fundamentos teóricos...","2025-03-20","Behrouz A. Forouzan","Informática","ISBN=TMP-2025-ICC;fecha_edicion=2025-03-20"
"19. Lenguaje de Programacion C","Clásico texto...","2025-03-20","Brian W. Kernighan, Dennis M. Ritchie","Informática","ISBN=TMP-2025-LPC;fecha_edicion=2025-03-20"
"20. Analisis de circuitos en ingenieria","Teoría y...","2025-03-20","William H. Hayt","Informática, Ingeniería","ISBN=TMP-2025-CIRC;fecha_edicion=2025-03-20"
"21. Sobre la teoria de la Relatividad Especial y General","Exposición accesible...","2025-03-20","Albert Einstein","Ciencias Exactas","ISBN=TMP-2025-RELAT;fecha_edicion=2025-03-20"
"22. Algorithms Unlocked","Introducción a...","2025-03-20","Thomas H. Cormen","Informática","ISBN=TMP-2025-ALGUN;fecha_edicion=2025-03-20"
"23. Project Management","Metodologías PMI...","2025-03-20","Harold Kerzner","Administración","ISBN=TMP-2025-PROMA;fecha_edicion=2025-03-20"
"26. Instructor’s Manual Formal languages and Automata","Material complementario...","2025-03-20","Peter Linz","Informática","ISBN=TMP-2025-AUTOM;fecha_edicion=2025-03-20"
"29. Contabilidad de Costos","Técnicas avanzadas...","2025-03-20","Charles T. Horngren","Economía","ISBN=TMP-2025-COCO;fecha_edicion=2025-03-20"
"30. Matemáticas Financieras","Herramientas cuantitativas...","2025-03-20","Jose Luis Villalobos","Economía, Ciencias Exactas","ISBN=TMP-2025-MATFI;fecha_edicion=2025-03-20"
"32. Teoría y Diseño de Circuitos","Principios de...","2025-03-20","William H. Hayt","Informática","ISBN=TMP-2025-TDCIR;fecha_edicion=2025-03-20"
"33. Sistemas operativos: Aspectos internos y principios de diseño","Arquitectura de...","2025-03-20","William Stallings","Informática","ISBN=TMP-2025-SO;fecha_edicion=2025-03-20"
"34. Microeconomía con aplicaciones para Latinoamérica","Análisis de...","2025-03-20","Paul A. Samuelson","Economía, Ciencias Sociales","ISBN=TMP-2025-MICRO;fecha_edicion=2025-03-20"
"35. Química General","Conceptos fundamentales...","2025-03-20","Raymond Chang","Ciencias Exactas","ISBN=TMP-2025-QUIM;fecha_edicion=2025-03-20"
"37. Teoría y Práctica del Derecho Penal","Análisis de...","2025-03-20","Luis Jiménez de Asúa","Ciencias Sociales","ISBN=TMP-2025-DPEN;fecha_edicion=2025-03-20"
"38. Introducción al Estudio del Derecho","Fundamentos de...","2025-03-20","Eduardo Gracía Máynez","Ciencias Sociales","ISBN=TMP-2025-DERECH;fecha_edicion=2025-03-20"
"39. El Arte de la Guerra","Estrategias clásicas...","2025-03-20","Sun Tzu","Administración, Ciencias Sociales","ISBN=TMP-2025-ARTGU;fecha_edicion=2025-03-20"
"40. Cálculo de varias variables. Trascendentes tempranas","Extensión multivariable...","2025-03-20","James Stewart","Ciencias Exactas, Ingeniería","ISBN=TMP-2025-CALMV;fecha_edicion=2025-03-20"
"42. Mathematics for Economists","Herramientas matemáticas...","2025-03-20","Carl P. Simon","Ciencias Exactas, Economía","ISBN=TMP-2025-MATEC;fecha_edicion=2025-03-20"
"43. Discrete and combinatorial mathematics An Applied Introduction","Matemáticas discretas...","2025-03-20","Ralph P. Grimaldi","Ciencias Exactas, Informática","ISBN=TMP-2025-DISCM;fecha_edicion=2025-03-20"
"45. Game Theory Analysis of Conflict","Teoría de juegos...","2025-03-20","Roger B. Myerson","Economía, Ciencias Exactas","ISBN=TMP-2025-GAME;fecha_edicion=2025-03-20"
"47. Mecánica de Materiales","Principios de...","2025-03-20","R.C. Hibbeler","Ingeniería","ISBN=TMP-2025-MECMAT;fecha_edicion=2025-03-20"
"49. La Estrategia Competitiva","Análisis de...","2025-03-20","Michael E. Porter","Administración","ISBN=TMP-2025-ESTCOM;fecha_edicion=2025-03-20"
"50. Física Moderna","Introducción a...","2025-03-20","Kenneth S. Krane","Ciencias Exactas","ISBN=TMP-2025-FISMOD;fecha_edicion=2025-03-20"